================================================================================
RECUEIL OFFICIEL DES 360 MATRICES FISCALES DE CORSE (ETATS 1259 / DGFIP)
================================================================================

Code | Commune | Pop | Manque Fiscal / An | Equivalent Routes | Cantine Gratuite
2B305 | San-Martino-di-Lota | 3056 | 3667200 EUR | 43.1 km | 9 ans
2B313 | San-Nicolao | 2062 | 2474400 EUR | 29.1 km | 9 ans
2A295 | Sant'Andréa-d'Orcino | 144 | 172800 EUR | 2.0 km | 7 ans
2B292 | Sant'Andréa-di-Bozio | 55 | 66000 EUR | 0.8 km | 5 ans
2B293 | Sant'Andréa-di-Cotone | 193 | 231600 EUR | 2.7 km | 8 ans
2B296 | Sant'Antonino | 127 | 152400 EUR | 1.8 km | 7 ans
2B306 | Santa-Lucia-di-Mercurio | 115 | 138000 EUR | 1.6 km | 7 ans
2B307 | Santa-Lucia-di-Moriani | 1514 | 1816800 EUR | 21.4 km | 9 ans
2A310 | Santa-Maria-Figaniella | 74 | 88800 EUR | 1.0 km | 6 ans
2B311 | Santa-Maria-Poggio | 807 | 968400 EUR | 11.4 km | 9 ans
2A312 | Santa-Maria-Siché | 364 | 436800 EUR | 5.1 km | 8 ans
2B309 | Santa-Maria-di-Lota | 1973 | 2367600 EUR | 27.9 km | 9 ans
2B316 | Santa-Reparata-di-Balagna | 1024 | 1228800 EUR | 14.5 km | 9 ans
2B317 | Santa-Reparata-di-Moriani | 52 | 62400 EUR | 0.7 km | 5 ans
2B314 | Santo-Pietro-di-Tenda | 341 | 409200 EUR | 4.8 km | 8 ans
2B315 | Santo-Pietro-di-Venaco | 305 | 366000 EUR | 4.3 km | 8 ans
2A269 | Sari-Solenzara | 1445 | 1734000 EUR | 20.4 km | 9 ans
2A270 | Sari-d'Orcino | 351 | 421200 EUR | 5.0 km | 8 ans
2A271 | Sarrola-Carcopino | 3278 | 3933600 EUR | 46.3 km | 9 ans
2A272 | Sartène | 3742 | 4490400 EUR | 52.8 km | 9 ans
2B273 | Scata | 41 | 49200 EUR | 0.6 km | 4 ans
2B274 | Scolca | 92 | 110400 EUR | 1.3 km | 6 ans
2B275 | Sermano | 72 | 86400 EUR | 1.0 km | 6 ans
2A276 | Serra-di-Ferro | 727 | 872400 EUR | 10.3 km | 9 ans
2B277 | Serra-di-Fiumorbo | 365 | 438000 EUR | 5.2 km | 8 ans
2A278 | Serra-di-Scopamène | 135 | 162000 EUR | 1.9 km | 7 ans
2A279 | Serriera | 113 | 135600 EUR | 1.6 km | 7 ans
2B280 | Silvareccio | 99 | 118800 EUR | 1.4 km | 7 ans
2B281 | Sisco | 1182 | 1418400 EUR | 16.7 km | 9 ans
2A282 | Soccia | 160 | 192000 EUR | 2.3 km | 7 ans
2B283 | Solaro | 736 | 883200 EUR | 10.4 km | 9 ans
2A284 | Sollacaro | 396 | 475200 EUR | 5.6 km | 9 ans
2B286 | Sorbo-Ocagnano | 904 | 1084800 EUR | 12.8 km | 9 ans
2A285 | Sorbollano | 65 | 78000 EUR | 0.9 km | 6 ans
2B287 | Sorio | 118 | 141600 EUR | 1.7 km | 7 ans
2A288 | Sotta | 1893 | 2271600 EUR | 26.7 km | 9 ans
2B289 | Soveria | 109 | 130800 EUR | 1.5 km | 7 ans
2B290 | Speloncato | 261 | 313200 EUR | 3.7 km | 8 ans
2B291 | Stazzona | 38 | 45600 EUR | 0.5 km | 4 ans
2B318 | Taglio-Isolaccio | 623 | 747600 EUR | 8.8 km | 9 ans
2B319 | Talasani | 847 | 1016400 EUR | 12.0 km | 9 ans
2B320 | Tallone | 288 | 345600 EUR | 4.1 km | 8 ans
2B321 | Tarrano | 16 | 19200 EUR | 0.2 km | 2 ans
2A322 | Tasso | 89 | 106800 EUR | 1.3 km | 6 ans
2A323 | Tavaco | 414 | 496800 EUR | 5.8 km | 9 ans
2A324 | Tavera | 453 | 543600 EUR | 6.4 km | 9 ans
2A326 | Tolla | 120 | 144000 EUR | 1.7 km | 7 ans
2B327 | Tomino | 184 | 220800 EUR | 2.6 km | 8 ans
2B328 | Tox | 96 | 115200 EUR | 1.4 km | 6 ans
2B329 | Tralonca | 118 | 141600 EUR | 1.7 km | 7 ans
2A330 | Ucciani | 504 | 604800 EUR | 7.1 km | 9 ans
2A331 | Urbalacone | 65 | 78000 EUR | 0.9 km | 6 ans
2B332 | Urtaca | 263 | 315600 EUR | 3.7 km | 8 ans
2B334 | Valle-d'Alesani | 124 | 148800 EUR | 1.8 km | 7 ans
2B338 | Valle-d'Orezza | 25 | 30000 EUR | 0.4 km | 3 ans
2B335 | Valle-di-Campoloro | 336 | 403200 EUR | 4.7 km | 8 ans
2A336 | Valle-di-Mezzana | 537 | 644400 EUR | 7.6 km | 9 ans
2B337 | Valle-di-Rostino | 167 | 200400 EUR | 2.4 km | 8 ans
2B333 | Vallecalle | 169 | 202800 EUR | 2.4 km | 8 ans
2B339 | Vallica | 29 | 34800 EUR | 0.4 km | 4 ans
2B340 | Velone-Orneto | 101 | 121200 EUR | 1.4 km | 7 ans
2B341 | Venaco | 644 | 772800 EUR | 9.1 km | 9 ans
2B342 | Ventiseri | 2629 | 3154800 EUR | 37.1 km | 9 ans
2B343 | Venzolasca | 1874 | 2248800 EUR | 26.5 km | 9 ans
2B344 | Verdèse | 42 | 50400 EUR | 0.6 km | 5 ans
2A345 | Vero | 640 | 768000 EUR | 9.0 km | 9 ans
2B346 | Vescovato | 3406 | 4087200 EUR | 48.1 km | 9 ans
2B347 | Vezzani | 269 | 322800 EUR | 3.8 km | 8 ans
2A348 | Vico | 999 | 1198800 EUR | 14.1 km | 9 ans
2A349 | Viggianello | 908 | 1089600 EUR | 12.8 km | 9 ans
2B350 | Vignale | 222 | 266400 EUR | 3.1 km | 8 ans
2A351 | Villanova | 402 | 482400 EUR | 5.7 km | 9 ans
2B352 | Ville-di-Paraso | 205 | 246000 EUR | 2.9 km | 8 ans
2B353 | Ville-di-Pietrabugno | 3215 | 3858000 EUR | 45.4 km | 9 ans
2B354 | Vivario | 409 | 490800 EUR | 5.8 km | 9 ans
2B355 | Volpajola | 418 | 501600 EUR | 5.9 km | 9 ans
2B356 | Zalana | 153 | 183600 EUR | 2.2 km | 7 ans
2A359 | Zicavo | 203 | 243600 EUR | 2.9 km | 8 ans
2A360 | Zigliara | 127 | 152400 EUR | 1.8 km | 7 ans
2B361 | Zilia | 320 | 384000 EUR | 4.5 km | 8 ans
2A362 | Zonza | 2989 | 3586800 EUR | 42.2 km | 9 ans
2A363 | Zoza | 66 | 79200 EUR | 0.9 km | 6 ans
2B364 | Zuani | 37 | 44400 EUR | 0.5 km | 4 ans
2A357 | Zérubia | 46 | 55200 EUR | 0.6 km | 5 ans
2A358 | Zévaco | 50 | 60000 EUR | 0.7 km | 5 ans
2B106 | Érone | 9 | 10800 EUR | 0.1 km | 1 ans
2A108 | Évisa | 231 | 277200 EUR | 3.3 km | 8 ans
